img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
SS_1.2_rep14.jpg,1024,1,15.072,7.252,11.756,107.342,0,127.493,127.493,127.493,52.968,-0.001459,0.002766,0,0,0.5,38.135,38.135,38.135,15.072,0.0003202,0.0006069,0,0,0.1495,30.247,2.844,0.01367,-0.003906,4.065,0.7629,0.7611,0.7575,-2.57,-1.271,-1.189,0.02977,1.631,2.612,0.9533,0.9276,8.35E-05,98.478,4.582,4.569,0.0001223,2.205E-06
SS_0.5_rep10.jpg,1024,1,15.622,7.299,33.089,118.549,0,127.497,127.497,127.497,52.937,-0.001458,0.002764,0,0,0.5,39.427,39.427,39.427,15.622,0.000333,0.0006312,0,0,0.1546,25.154,0.3906,0,-0.001953,0.5248,0.7973,0.7996,0.7969,-1.051,-0.4791,-0.5009,0.004501,2.102,2.862,0.9784,0.9374,5.036E-05,99.969,4.581,4.577,8.779E-05,1.513E-06
SS_1.6_rep6.jpg,1024,1,15.021,7.247,3.045,46.191,0,127.501,127.501,127.501,52.978,-0.00146,0.002767,0,0,0.5,38.256,38.256,38.256,15.021,0.0003179,0.0006026,0,0,0.15,46.803,6.922,0.0332,0.009766,7.295,0.6732,0.6994,0.6697,-3.507,-1.748,-1.588,0.02244,1.22,2.363,0.875,0.8793,0.0002682,91.716,4.57,4.503,0.000197,2.186E-06
SS_1.3_rep16.jpg,1024,1,15.159,7.249,7.19,77.562,0,127.503,127.503,127.503,52.963,-0.001459,0.002765,0,0,0.5,38.147,38.147,38.147,15.159,0.0003232,0.0006126,0,0,0.1496,28.899,4.367,-0.009766,-0.01953,5.614,0.7477,0.7391,0.7341,-2.92,-1.473,-1.291,0.0564,1.484,2.539,0.9337,0.9148,0.0001255,95.933,4.579,4.563,0.0001377,2.609E-06
SS_0.9_rep9.jpg,1024,1,15.36,7.275,23.812,140.76,0,127.494,127.494,127.494,52.951,-0.001459,0.002765,0,0,0.5,38.745,38.745,38.745,15.36,0.0003275,0.0006208,0,0,0.1519,25.68,1.235,0.001953,-0.005859,1.656,0.7836,0.7832,0.7802,-1.879,-0.8634,-0.9026,0.003955,1.93,2.762,0.9713,0.9312,5.538E-05,99.612,4.578,4.574,9.957E-05,2.018E-06
SS_0.85_rep11.jpg,1024,1,15.429,7.281,25.603,139.593,0,127.495,127.495,127.495,52.947,-0.001458,0.002765,0,0,0.5,38.925,38.925,38.925,15.429,0.000329,0.0006237,0,0,0.1526,25.981,0.8735,0.001953,-0.003906,1.192,0.7873,0.7896,0.788,-1.713,-0.8008,-0.8276,0.004115,1.935,2.784,0.9718,0.9367,5.716E-05,99.65,4.578,4.575,9.71E-05,1.848E-06
SS_0.1_rep11.jpg,1024,1,15.636,7.299,35.338,75.851,0,127.498,127.498,127.498,52.937,-0.001458,0.002764,0,0,0.5,39.46,39.46,39.46,15.636,0.0003335,0.0006321,0,0,0.1547,25.109,0,0,0,0.1089,0.8005,0.799,0.7971,-0.2223,-0.06346,-0.0912,0.005796,2.007,2.888,0.9803,0.9337,4.895E-05,99.993,4.581,4.578,9.092E-05,1.092E-06
SS_0.45_rep5.jpg,1024,1,15.64,7.299,33.68,112.522,0,127.498,127.498,127.498,52.936,-0.001458,0.002764,0,0,0.5,39.464,39.464,39.464,15.64,0.0003337,0.0006325,0,0,0.1548,25.121,0,0,0,0.2272,0.7983,0.8003,0.7976,-0.9327,-0.4175,-0.4414,0.004357,2.104,2.867,0.9819,0.9386,4.788E-05,99.987,4.577,4.577,8.765E-05,1.509E-06
SS_1.2_rep10.jpg,1024,1,15.158,7.251,11.574,105.005,0,127.504,127.504,127.504,52.963,-0.001459,0.002766,0,0,0.5,38.143,38.143,38.143,15.158,0.0003225,0.0006113,0,0,0.1496,23.616,5.807,-0.01953,-0.02148,5.106,0.7611,0.7629,0.7507,-2.517,-1.261,-1.17,0.0337,1.66,2.624,0.9549,0.926,8.612E-05,97.651,4.578,4.568,0.0001214,2.409E-06
SS_1.6_rep7.jpg,1024,1,15.467,7.173,2.204,34.39,0,127.49,127.49,127.49,52.926,-0.001457,0.002762,0,0,0.5,38.258,38.258,38.258,15.467,0.0003318,0.0006289,0,0,0.15,18.438,5.078,-0.009766,0.02344,6.882,0.7298,0.6938,0.6729,-3.493,-1.723,-1.608,0.01403,1.16,2.344,0.8328,0.8591,0.0003261,87.522,4.555,4.482,0.0002196,2.916E-06
