img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
Tiepolo1.jpg,1900,1.169,19.98,7.403,4.721,64.936,6.371,124.55,123.353,106.603,50.945,-1.912,10.061,0.2327,0.2825,0.5249,49.149,50.91,55.22,19.98,9.036,10.233,0.1837,0.1698,0.1957,17.103,15.755,0.0009766,-0.07877,5.593,0.4229,0.424,0.3987,-2.882,-1.474,-1.441,0.001424,1.299,2.458,0.7004,0.8125,0.0002931,89.619,4.55,4.533,0.0001955,2.245E-05
vanDyck2.jpg,1606,0.5684,14.776,5.356,4.055,38.771,4.11,31.065,23.494,16.881,9.625,2.39,5.219,0.04317,0.2418,0.1229,44.664,32.476,22.343,14.776,6.626,10.131,0.112,0.2496,0.1748,75.117,11.013,-0.04983,-0.02344,21.219,0.4257,0.2965,0.2568,-2.805,-1.327,-1.369,0.003742,1.282,2.487,0.6078,0.7348,0.0003019,83.298,4.444,4.34,0.0002055,1.405E-05
TeniersYounger7.jpg,1778,1.358,20.963,7.735,7.832,86.725,5.541,141.511,130.481,114.439,54.547,2.589,11.023,0.1292,0.3112,0.5769,48.176,54.677,67.582,20.963,5.225,13.895,0.225,0.2391,0.2019,26.27,11.697,-0.003906,-0.05836,10.098,0.5051,0.3852,0.3899,-2.648,-1.349,-1.279,0.004102,1.384,2.532,0.7511,0.8123,0.0002999,96.002,4.34,4.481,0.000142,1.472E-05
Philipsen2.jpg,1791,1.335,16.483,7.209,5.837,54.032,5.601,134.836,128.904,108.741,53.547,-0.8168,12.202,0.1579,0.2548,0.5392,38.808,43.121,52.272,16.483,3.409,9.546,0.1277,0.1592,0.1593,53.517,15.014,0.003906,0.07497,15.564,0.5905,0.4712,0.4571,-2.582,-1.165,-1.291,0.004139,1.438,2.532,0.7868,0.8068,0.0002621,81.466,4.305,4.451,0.0001293,1.381E-05
Zoffany5.jpg,1713,1.486,19.7,7.486,9.278,110.862,4.691,101.531,85.069,60.985,36.403,3.329,16.426,0.09307,0.4245,0.3986,52.383,47.572,44.565,19.7,3.655,9.888,0.055,0.1893,0.205,49.859,0.7257,0,-0.003628,11.14,0.5312,0.5072,0.4794,-2.662,-1.248,-1.235,0.003673,1.446,2.576,0.7018,0.8407,0.0002612,97.537,4.448,4.509,0.0001531,1.229E-05
Rusinol12.jpg,1660,0.6211,13.068,6.871,5.661,44.208,4.798,74.714,59.312,50.634,25.955,5.358,7.743,0.04412,0.311,0.2931,34.428,29.925,23.4,13.068,2.832,5.733,0.05302,0.1101,0.1349,56.991,6.301,-0.03145,-0.001953,14.885,0.5215,0.4493,0.4545,-2.748,-1.192,-1.404,0.01132,1.545,2.485,0.8124,0.7877,0.0002567,92.917,4.183,4.296,0.0001461,1.523E-05
vanOstade3.jpg,1851,0.8076,15.226,6.797,6.398,64.878,5.009,68.942,56.228,46.513,24.132,3.824,7.753,0.08351,0.2512,0.2716,46.348,32.866,22.873,15.226,5.43,8.488,0.1039,0.1552,0.181,56.906,18.441,0.04897,-0.07812,16.584,0.4834,0.4225,0.3792,-2.671,-1.313,-1.355,0.002668,1.387,2.494,0.7093,0.8078,0.0002281,87.618,4.379,4.449,0.0001218,1.516E-05
Monet31.jpg,1680,0.6422,10.928,6.786,9.424,68.092,6.661,169.269,171.764,181.891,70.272,1.535,-5.386,0.6772,0.1318,0.7355,32.416,29.932,31.451,10.928,3.679,9.556,0.2228,0.1002,0.1147,31.837,13.172,-0.01903,-0.06305,19.73,0.6725,0.6506,0.648,-2.19,-0.9994,-1.029,0.001895,1.649,2.694,0.8727,0.88,0.000244,96.519,3.837,4.299,9.325E-05,5.993E-06
SebastianoRicci2.jpg,1856,1.231,19.194,7.325,5.125,80.036,5.186,73.785,54.996,37.709,23.977,5.706,13.154,0.09267,0.5027,0.2902,53.357,43.288,34.431,19.194,7.73,10.221,0.05056,0.2105,0.2093,51.5,6.25,-0.03125,0,15.93,0.4403,0.4183,0.4492,-3.145,-1.479,-1.623,0.002519,1.325,2.389,0.7463,0.7965,0.00034,94.37,4.259,4.407,0.0001763,1.683E-05
Millet2.jpg,1790,1.337,23.337,7.612,5.822,59.511,5.375,127.832,115.563,98.537,48.259,2.154,10.848,0.0773,0.2564,0.5028,59.194,57.614,50.251,23.337,3.073,8.348,0.09343,0.1033,0.2301,20.931,24.111,0.02051,0.1188,8.328,0.5394,0.3841,0.3615,-2.745,-1.375,-1.375,0.003924,1.334,2.505,0.6973,0.8115,0.0002137,87.969,4.476,4.479,0.0001596,1.351E-05
Murillo1.jpg,1824,0.783,24.572,7.298,6.903,107.528,4.923,84.991,66.114,37.646,28.161,4.848,18.443,0.102,0.542,0.338,69.111,57.17,46.698,24.572,7.282,17.871,0.07294,0.2555,0.2704,54.143,20.35,0.1017,-0.0004888,14.419,0.3348,0.4032,0.2941,-2.805,-1.492,-1.407,0.001418,1.356,2.446,0.6468,0.8176,0.0002978,93.953,4.534,4.523,0.000159,2.099E-05
TeniersYounger6.jpg,1831,0.7881,26.88,7.438,7.808,77.27,5.961,129.343,112.35,90.37,47.491,4.813,15.371,0.1413,0.4415,0.5168,57.932,69.972,73.54,26.88,9.822,11.784,0.1051,0.3289,0.2347,35.106,17.155,-0.01177,0.08496,10.186,0.4581,0.4401,0.3962,-2.735,-1.287,-1.24,0.005323,1.327,2.558,0.7331,0.7865,0.0002842,92.846,4.468,4.427,0.000144,1.788E-05
Reynolds5.jpg,1648,0.6094,22.154,7.5,5.765,63.104,4.966,82.369,58.05,30.866,25.693,7.144,19.075,0.08223,0.6601,0.3237,61.315,51.359,31.395,22.154,6.394,14.019,0.0485,0.1726,0.2402,44.815,19.247,0.06571,0.07031,25.985,0.4793,0.5188,0.4506,-2.959,-1.352,-1.433,0.003994,1.274,2.496,0.7858,0.7969,0.0002649,91.285,4.387,4.448,0.0001406,1.381E-05
Vuillard4.jpg,1869,0.8252,19.694,7.657,7.187,89.335,6.478,134.788,127.739,106.132,53.058,-0.01099,12.537,0.1851,0.3026,0.5557,54.36,49.665,45.622,19.694,6.785,15.506,0.1828,0.1957,0.1895,17.914,6.548,0.03018,-0.0127,9.71,0.4918,0.4595,0.4622,-2.695,-1.355,-1.394,0.001944,1.438,2.514,0.7857,0.8321,0.0002474,95.938,4.391,4.45,0.000111,1.612E-05
Monet39.jpg,1688,1.542,14.424,7.065,7.223,45.552,6.806,161.247,154.043,139.889,63.619,0.4788,8.37,0.1098,0.1732,0.6468,39.767,38.866,36.457,14.424,6.188,9.635,0.1517,0.1038,0.143,32.36,12.788,-0.0166,-0.06175,14.224,0.5852,0.4934,0.4561,-2.343,-1.017,-1.056,0.01246,1.637,2.644,0.7764,0.854,0.0002714,92.647,4.445,4.461,9.526E-05,9.955E-06
Repin1.jpg,1666,1.595,24.897,7.275,10.78,105.86,6.284,128.732,113.741,96.613,48.078,4.607,10.937,0.09256,0.4194,0.5341,66.283,61.356,48.209,24.897,7.388,20.057,0.2008,0.2823,0.2199,14.511,10.15,-0.01562,-0.04829,17.132,0.473,0.3944,0.4369,-2.137,-1.2,-1.11,0.003201,1.509,2.617,0.6391,0.8603,0.0002516,88.32,4.524,4.54,0.0001416,1.443E-05
Monet22.jpg,1789,1.339,16.084,7.163,9.057,87.083,6.299,133.324,138.562,136.42,56.774,-2.23,0.4501,0.3602,0.09335,0.5544,42.342,40.098,38.601,16.084,2.913,4.841,0.2181,0.08999,0.1555,7.943,12.86,0.01074,-0.0634,8.617,0.6532,0.4226,0.4131,-2.457,-1.146,-1.222,0.001463,1.51,2.618,0.6325,0.8469,0.0002452,86.242,4.203,4.417,0.000111,8.691E-06
Procaccini2.jpg,1781,0.7393,23.002,7.383,8.649,109.246,6.704,79.027,75.363,48.521,30.851,-1.915,16.084,0.2004,0.5975,0.344,62.678,54.117,49.7,23.002,9.749,10.473,0.1334,0.2373,0.2319,45.59,21.384,0.05482,0.0918,13.822,0.5069,0.4402,0.4287,-2.78,-1.287,-1.334,0.001561,1.432,2.526,0.7751,0.8197,0.0002751,93.76,4.429,4.508,0.0001404,1.942E-05
vanRuysdael3.jpg,1669,1.588,24.467,7.499,7.518,60.194,5.74,121.705,118.579,102.564,48.667,-0.6576,9.444,0.1564,0.3242,0.4989,56.05,60.379,67.621,24.467,2.873,13.359,0.173,0.2812,0.2294,14.453,17.122,0.05273,-0.06744,15.959,0.3732,0.3948,0.2918,-2.565,-1.135,-1.139,0.01278,1.35,2.619,0.5352,0.7705,0.0002978,88.03,4.473,4.513,0.0001711,1.757E-05
