img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
Chardin6.jpg,1878,0.8358,13.373,6.731,4.589,41.792,4.635,94.99,78.994,65.095,34.476,4.527,10.654,0.07705,0.3132,0.3736,35.846,32.922,28.299,13.373,3.788,6.613,0.04568,0.115,0.1407,72.175,3.115,0.01462,0.005376,8.947,0.4348,0.4657,0.3981,-2.758,-1.345,-1.399,0.004301,1.508,2.519,0.8185,0.765,0.0003037,81.695,4.476,4.319,0.0001359,2.002E-05
Charleston1.jpg,1863,0.8193,25.857,7.676,6.742,78.379,5.124,97.785,82.264,61.587,34.715,3.409,14.119,0.07575,0.4287,0.384,64.753,63.112,54.166,25.857,4.509,9.56,0.07883,0.1626,0.2534,41.27,21.831,-0.06973,-0.08398,21.398,0.4995,0.3367,0.2998,-2.619,-1.162,-1.265,0.002031,1.364,2.591,0.6161,0.795,0.0002594,89.53,4.44,4.442,0.0002002,2.15E-05
42143.jpg,1048,1.211,24.058,7.198,16.523,115.953,5.657,121.017,145.711,156.573,58.301,-4.317,-7.265,0.4915,0.3876,0.6739,60.237,59.602,89.135,24.058,7.744,25.089,0.2305,0.2195,0.2888,11.373,17.887,-0.02962,-0.08439,9.563,0.4741,0.3202,0.2834,-2.064,-1.145,-1.056,0.009006,1.588,2.614,0.4281,0.8033,0.0005073,87.952,4.449,4.509,0.0003972,2.375E-05
43819.jpg,1066,0.6656,19.51,6.146,8.011,51.151,4.603,104.383,26.973,27.579,25.643,26.595,20.894,0.02228,0.7112,0.4095,82.827,39.033,37.179,19.51,29.403,21.999,0.04933,0.2969,0.3249,90.685,22.382,-0.1103,0.01875,18.588,0.1649,0.4569,0.1602,-2.704,-1.315,-1.428,0.03956,1.725,2.826,0.5202,0.7399,0.0006378,59.559,4.198,4.235,0.0004984,2.028E-05
Wyck2.jpg,1719,1.473,13.806,7.543,5.235,50.518,4.736,91.252,78.749,53.099,33.681,1.376,16.994,0.1162,0.4322,0.3586,33.901,32.905,29.463,13.806,3.154,8.013,0.03766,0.1599,0.1335,39.902,16.499,0.03906,0.07266,18.853,0.489,0.466,0.4757,-2.642,-1.27,-1.255,0.005764,1.474,2.55,0.7672,0.8355,0.0002697,89.7,4.257,4.479,0.0001105,1.426E-05
SS_0.85_rep5.jpg,1024,1,15.418,7.279,24.945,137.733,0,127.504,127.504,127.504,52.951,-0.001458,0.002765,0,0,0.5,38.883,38.883,38.883,15.418,0.0003291,0.0006237,0,0,0.1525,25.475,2.471,-0.003906,0.01172,2.957,0.7897,0.788,0.7891,-1.759,-0.8127,-0.8428,0.004164,1.912,2.781,0.9722,0.9372,5.271E-05,99.443,4.58,4.575,9.633E-05,2.18E-06
Tintoretto13.jpg,1720,0.6797,17.806,7.343,10.246,86.076,4.65,84.38,67.045,32.137,28.783,2.976,22.607,0.1079,0.6324,0.3309,47.219,42.057,29.619,17.806,4.743,11.954,0.03369,0.1813,0.1852,50.296,10.582,-0.00431,0.05273,13.863,0.5169,0.4629,0.4563,-2.237,-1.243,-1.152,0.002068,1.56,2.533,0.6903,0.8342,0.0001955,92.97,4.533,4.528,0.0001072,1.352E-05
Cezanne2.jpg,1839,1.256,15.238,7.478,7.091,74.044,6.014,60.546,90.296,93.918,35.874,-9.147,-5.201,0.4984,0.4447,0.3959,33.947,36.452,47.66,15.238,5.08,13.209,0.08841,0.1347,0.1726,30.699,7.055,-0.01367,0.03252,12.83,0.6187,0.5833,0.5642,-2.677,-1.297,-1.3,0.002237,1.388,2.498,0.84,0.8363,0.0002549,96.531,4.552,4.543,0.0001324,8.965E-06
SS_1.15_rep12.jpg,1024,1,15.054,7.25,14.397,121.719,0,127.495,127.495,127.495,52.97,-0.001459,0.002766,0,0,0.5,38.143,38.143,38.143,15.054,0.0003194,0.0006054,0,0,0.1496,28.435,1.235,0.005859,0.001953,2.621,0.7658,0.7692,0.7699,-2.438,-1.175,-1.148,0.01749,1.721,2.645,0.9589,0.9299,7.427E-05,99.61,4.579,4.569,0.0001157,2.407E-06
387754.jpg,1256,0.7444,19.75,6.952,14.702,68.212,5.377,63.018,51.696,49.926,22.142,4.644,2.899,0.9521,0.2841,0.2589,55.686,43.701,40.515,19.75,6.379,7.128,0.2237,0.1585,0.2138,48.783,5.126,-0.01493,-0.02083,17.953,0.5582,0.4407,0.4409,-1.927,-0.7944,-0.8016,0.06235,1.599,2.698,0.6998,0.776,0.0003027,92.424,4.428,4.42,0.0001318,2.529E-05
