img_file,Image size (pixels)_abs_diff,Image size (pixels)_percent_diff,Aspect ratio_abs_diff,Aspect ratio_percent_diff,RMS contrast_abs_diff,RMS contrast_percent_diff,Luminance entropy_abs_diff,Luminance entropy_percent_diff,Complexity_abs_diff,Complexity_percent_diff,Edge density_abs_diff,Edge density_percent_diff,Color entropy_abs_diff,Color entropy_percent_diff,mean R channel_abs_diff,mean R channel_percent_diff,mean G channel_abs_diff,mean G channel_percent_diff,mean B channel (RGB)_abs_diff,mean B channel (RGB)_percent_diff,mean L channel_abs_diff,mean L channel_percent_diff,mean a channel_abs_diff,mean a channel_percent_diff,mean b channel (Lab)_abs_diff,mean b channel (Lab)_percent_diff,mean H channel_abs_diff,mean H channel_percent_diff,mean S channel_abs_diff,mean S channel_percent_diff,mean V channel_abs_diff,mean V channel_percent_diff,std R channel_abs_diff,std R channel_percent_diff,std G channel_abs_diff,std G channel_percent_diff,std B channel_abs_diff,std B channel_percent_diff,std L channel_abs_diff,std L channel_percent_diff,std a channel_abs_diff,std a channel_percent_diff,std b channel (Lab)_abs_diff,std b channel (Lab)_percent_diff,std H channel_abs_diff,std H channel_percent_diff,std S channel_abs_diff,std S channel_percent_diff,std V channel_abs_diff,std V channel_percent_diff,Mirror symmetry_abs_diff,Mirror symmetry_percent_diff,DCM distance_abs_diff,DCM distance_percent_diff,DCM x position_abs_diff,DCM x position_percent_diff,DCM y position_abs_diff,DCM y position_percent_diff,Balance_abs_diff,Balance_percent_diff,CNN symmetry left-right_abs_diff,CNN symmetry left-right_percent_diff,CNN symmetry up-down_abs_diff,CNN symmetry up-down_percent_diff,CNN symmetry left-right & up-down_abs_diff,CNN symmetry left-right & up-down_percent_diff,Slope Redies_abs_diff,Slope Redies_percent_diff,Slope Spehar_abs_diff,Slope Spehar_percent_diff,Slope Mather_abs_diff,Slope Mather_percent_diff,Fourier sigma_abs_diff,Fourier sigma_percent_diff,2D Fractal dimension_abs_diff,2D Fractal dimension_percent_diff,3D Fractal dimension_abs_diff,3D Fractal dimension_percent_diff,Self-similarity (PHOG)_abs_diff,Self-similarity (PHOG)_percent_diff,Self-similarity (CNN)_abs_diff,Self-similarity (CNN)_percent_diff,Anisotropy_abs_diff,Anisotropy_percent_diff,Homogeneity_abs_diff,Homogeneity_percent_diff,1st-order EOE_abs_diff,1st-order EOE_percent_diff,2nd-order EOE_abs_diff,2nd-order EOE_percent_diff,Sparseness_abs_diff,Sparseness_percent_diff,Variability_abs_diff,Variability_percent_diff,,Pearson Correaltions
Vuillard2.jpg,605,33,-0.001,0,0.256,2,0.023,0,-0.314999999999999,3,-0.102000000000004,0,0.011,0,0.004000000000019,0,-0.016999999999996,0,0.049999999999997,0,-0.015000000000001,0,0.033,1,-0.036,1,-0.002,0,0.0016,1,0.0003,0,0.666000000000004,2,0.632000000000005,1,0.515000000000001,1,0.256,2,0.052999999999999,1,0.129000000000001,1,0.0008,0,0.002,1,0.0027,2,-0.321999999999999,1,0.081000000000001,1,0.00075,3,0,0,-0.011000000000001,0,0.0022,0,0.0019,0,0.0018,0,-0.006,0,0.047,-4,-0.023,-2,0.000357,12,-0.002,0,0.026,1,0.014,2,0.0027,0,-3.86E-05,20,0.007000000000005,0,0,0,0,0,-2.95E-06,3,1.17000000000001E-07,1,,
Vuillard3.jpg,647,33,0.0009,0,0.225,1,0.012000000000001,0,-0.511000000000001,5,-0.082000000000008,0,0.016,0,0.027000000000001,0,-0.001999999999995,0,0.015000000000001,0,-0.001999999999995,0,0.021000000000001,0,0.000999999999999,0,-7.00000000000006E-05,0,0.0003,0,0.0003,0,0.681000000000005,2,0.565999999999995,1,0.564,2,0.225,1,0.109,1,0.119999999999999,1,0.0014,1,0.0022,1,0.0026,2,-0.442999999999998,1,0.156,7,0.000814,10,-0.000247,-4,-0.121,2,0.0004,0,0.0006,0,0.0004,0,-0.005,0,0.047,-4,-0.045,-3,5.00000000000006E-05,1,0.057,3,-0.006,0,0.021,2,0.0024,0,-2.81E-05,14,0.280000000000001,0,0,0,0,0,-1.3E-06,1,-1.71000000000001E-07,2,,
Vuillard4.jpg,623,33,0.0009,0,0.064,0,-0.011,0,-0.887999999999999,11,-0.080000000000013,0,0.004,0,0.00200000000001,0,-0.009999999999991,0,0.00200000000001,0,-0.006999999999998,0,0.00645,-59,-0.004,0,9.9999999999989E-05,0,9.9999999999989E-05,0,0,0,0.152999999999999,0,0.159999999999997,0,0.165999999999997,0,0.064,0,0.008,0,-0.013,0,-0.0002,0,0.0004,0,0.0007,0,0.061,0,0.18,3,0.00087,3,-0.00025,-2,-0.017999999999999,0,-0.0003,0,0.001,0,0.0009,0,-0.004,0,0.026,-2,-0.028,-2,7.7E-05,4,-0.03,2,-0.017,1,0.0229,3,0.0004,0,-4.64E-05,16,0.049999999999997,0,-0.001,0,-0.000999999999999,0,-2.2E-06,2,-3.4E-07,2,,
Vuillard5.jpg,546,33,0.0012,0,0.221999999999998,1,-0.017,0,0.579000000000001,6,-0.137,0,0.036,1,0.019999999999996,0,-0.031999999999997,0,0.085000000000008,0,-0.009,0,0.052000000000001,1,-0.051,0,-0.00217,3,-0.0006,0,9.9999999999989E-05,0,0.454000000000001,1,0.641000000000005,1,0.579999999999998,2,0.221999999999998,1,0.154999999999999,1,0.142000000000001,1,0.00129,2,0.0029,2,0.0018,1,0.134,0,0.15,1,0.00073,1,-0.00026,-1,0.080000000000002,0,0.0036,1,0.0024,0,0.0039,1,-0.005,0,0.062,-6,0.075,-7,0.001614,21,0.131,9,-0.004,0,0.038,5,-0.0015,0,-2.85E-05,13,0.195999999999998,0,0.005,0,0.002,0,-5.7E-06,5,-5.3E-07,4,,
Vuillard6.jpg,603,33,0.0013,0,0.163,1,0.017,0,-0.591000000000001,6,-0.09899999999999,0,0.012,0,0.004000000000005,0,-0.040000000000006,0,0.082000000000008,0,-0.018999999999998,0,0.0423,5,-0.060000000000001,1,-0.0008,1,-0.0001,0,0,0,0.386000000000003,1,0.407999999999994,1,0.424,1,0.163,1,0.004,0,0.044000000000001,1,0.00042,1,0.00094,1,0.0016,1,1.569,5,0.029,1,-9.99999999999959E-06,0,-0.000249,-3,-0.141,2,0.0017,0,0.0008,0,0.0011,0,-0.004,0,-0.025,-2,-0.042,-4,-6.59999999999999E-05,4,-0.014,1,-0.009,0,0.0125,2,-0.0007,0,-4.11E-05,19,0.016999999999996,0,0,0,-0.000999999999999,0,-3.60000000000001E-06,3,2.45E-07,3,,
Vuillard7.jpg,530,33,-0.001,0,0.134,1,0.005999999999999,0,-0.747,8,-0.144999999999996,0,-0.011,0,-0.010999999999996,0,-0.038999999999987,0,0.060000000000002,0,-0.016000000000005,0,0.036000000000001,1,-0.047,-2,-0.0004,0,0.0006,0,0.0001,0,0.343000000000003,1,0.326000000000001,1,0.323,1,0.134,1,0.023,0,0.026,0,-0.0017,1,0.0008,0,0.0015,1,0.034,1,0.108000000000001,1,0.00022,0,0.00088,1,-0.026,0,0.0008,0,9.9999999999989E-05,0,0.0011,0,-0.005,0,0.057,-4,-0.078,-7,-0.001988,26,0.069,5,-0.012,0,0.0442,7,0.0009,0,-4.76E-05,18,0.281999999999996,0,0.002,0,0,0,-7.8E-06,4,2.69999999999999E-07,2,,
Vuillard8.jpg,611,33,-0.001,0,0.174,1,-0.009,0,1.03,13,-0.112000000000009,0,0.015000000000001,0,0.003999999999991,0,-0.048000000000002,0,0.073000000000008,0,-0.016999999999996,0,0.051,2,-0.050000000000001,0,-0.0007,1,0.0004,0,9.9999999999989E-05,0,0.506,1,0.434999999999995,1,0.574999999999996,1,0.174,1,0.026000000000001,0,0.143000000000001,1,0.00095,2,0.002,1,0.002,1,0.391999999999999,2,0.057,0,0.000246,6,0.00027,0,0.075999999999999,1,0.0026,1,0.0016,0,0.0026,1,-0.006,0,0.151,-13,0.003,0,0.001256,27,0.042,3,0.022,1,0.0689,8,-0.0042,1,-9.2E-05,35,0.281999999999996,0,0,0,0,0,-3.80000000000001E-06,3,7.70000000000001E-07,5,,
Vuillard9.jpg,627,33,-0.002,0,0.236999999999998,1,0.011,0,-1.532,9,-0.020999999999987,0,0.014,0,0.024000000000001,0,-0.009999999999991,0,0.018000000000001,0,-0.015000000000001,0,0.028,1,-0.008,0,-0.00119,2,0.0018,1,0.0003,0,0.57,1,0.628999999999998,1,0.649000000000001,1,0.236999999999998,1,0.071,1,0.089,1,0.0012,0,0.0011,1,0.0026,1,0.165999999999997,0,-0.118,2,0.00072,-3,-1.99999999999992E-05,0,-0.092000000000001,1,-0.0004,0,9.9999999999989E-05,0,-0.0002,0,0,0,-0.049,-4,-0.047,-4,-0.000983,26,-0.041,2,-0.022,1,0.0192,2,-0.0004,0,-6.77E-05,23,0.055000000000007,0,-0.002000000000001,0,0,0,-1.79999999999999E-06,2,5.3000000000001E-08,1,,
Waldmuller1.jpg,610,33,-0.002,0,0.102,1,0.006,0,-0.929999999999999,11,-0.093999999999994,0,-0.038,1,0.034999999999997,0,-0.024000000000001,0,0.062000000000005,0,-0.001000000000001,0,0.036000000000001,1,-0.052,0,-0.00075,1,-9.9999999999989E-05,0,0.0001,0,0.248000000000005,1,0.279,1,0.276,1,0.102,1,-0.011,0,0.017,0,-0.00038,1,0.0021,1,0.001,1,-0.075999999999993,0,-0.057,1,-0.000246,-7,-0.00033,1,-0.063000000000001,1,-0.0002,0,-0.0005,0,-0.0005,0,-0.003,0,-0.035,-3,-0.026,-2,-0.000484,23,-0.028,2,0.02,1,0.0219,3,-0.001,0,-2.65E-05,7,0.132000000000005,0,-0.002,0,0,0,-2.00000000000002E-06,2,-1.7E-07,1,,
Waldmuller2.jpg,607,33,-0.003,0,1.025,6,-0.235,3,2.777,17,-0.120999999999995,0,-0.031,1,0.040999999999997,0,-0.039999999999992,0,0.108999999999995,0,-0.085000000000001,0,0.082,-8,-0.142,2,-0.0034,3,0.0103,4,0,0,2.387,6,2.505,6,2.369,6,1.025,6,0.02,1,0.09,2,0.00193,2,0.0235,14,0.0095,6,-1.125,2,0.086,1,0.00076,2,-7.00000000000006E-05,0,0.095000000000001,1,9.9999999999989E-05,0,0.0016,0,0.0021,0,-0.005,0,0.1697,-26,0.1962,-26,0.00258,16,0.047,3,0.006,0,0.0192,3,-0.0011,0,-6.03E-05,27,0.555000000000007,1,0.001,0,0,0,-3.59999999999999E-06,3,5.99999999999994E-08,0,,
