img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
Copley7.jpg,1242,0.8184,23.184,7.282,7.623,99.871,6.236,78.257,54.049,45.081,24.625,9.371,9.989,0.03685,0.5274,0.3155,64.542,55.421,50.501,23.184,11.947,11.991,0.1592,0.244,0.2475,66.504,7.722,0.009839,-0.03734,17.389,0.4314,0.3323,0.308,-2.994,-1.588,-1.546,0.002472,1.429,2.414,0.5511,0.7784,0.0004683,90.37,4.459,4.472,0.0001825,2.382E-05
SS_0.45_rep4.jpg,682,1,11.401,6.894,24.786,113.303,0,127.494,127.494,127.494,53.148,-0.001463,0.002774,0,0,0.5,28.887,28.887,28.887,11.401,0.0002414,0.0004575,0,0,0.1133,25.15,1.244,-0.004399,-0.004399,0.6092,0.7931,0.7953,0.7911,-1.58,-0.4933,-0.4174,0.3257,2.007,2.884,0.9661,0.9326,7.402E-05,99.943,4.579,4.577,0.0001119,1.484E-06
Canaletto14.jpg,1065,1.781,22.157,7.339,5.771,45.64,6.409,144.287,149.476,125.96,60.154,-5.41,12.214,0.2447,0.2509,0.6057,51.689,57.678,62.935,22.157,4.935,11.07,0.1382,0.1702,0.2196,17.831,20.529,0.03812,-0.0953,18.801,0.428,0.2497,0.2008,-2.516,-1.227,-1.229,0.004997,1.127,2.605,0.4422,0.7292,0.0003939,87.193,4.146,4.299,0.000287,1.774E-05
4145.jpg,747,1.334,27.763,7.893,23.802,160.765,5.792,127.372,113.62,71.219,46.873,-0.7925,24.519,0.1339,0.4763,0.5056,77.476,67.504,54.347,27.763,9.496,14.276,0.0685,0.1953,0.3026,25.837,11.99,-0.04098,-0.04375,13.904,0.5671,0.5701,0.5376,-2.271,-1.097,-1.129,0.07152,1.616,2.72,0.7658,0.8726,0.0002382,97.905,4.521,4.526,0.0001235,9.572E-06
37750.jpg,743,1.351,17.635,6.834,10.766,89.398,5.878,101.141,117.638,82.597,47.182,-10.509,16.914,0.249,0.4686,0.5033,45.794,45.297,51.148,17.635,14.559,25.245,0.157,0.1896,0.1739,9.114,3.242,-0.003513,-0.01582,8.278,0.4201,0.4577,0.3419,-2.639,-1.219,-1.232,0.1058,1.586,2.582,0.655,0.7636,0.0006407,98.511,4.058,4.233,0.0001868,2.61E-05
SS_0.5_rep1.jpg,682,1,11.663,6.925,24.951,117.807,0,127.506,127.506,127.506,53.142,-0.001463,0.002774,0,0,0.5,29.553,29.553,29.553,11.663,0.0002469,0.0004681,0,0,0.1159,25.051,1.244,-0.004399,-0.004399,0.626,0.7956,0.7937,0.7903,-1.651,-0.5442,-0.4688,0.3215,2.012,2.885,0.9665,0.934,7.56E-05,99.91,4.58,4.577,0.0001123,1.717E-06
40503.jpg,747,1.334,25.655,7.912,41.55,220.5,6.844,106.551,104.403,87.889,42.776,-1.694,9.509,0.1304,0.3187,0.4365,64.076,63.479,66.455,25.655,6.16,13.312,0.1958,0.2507,0.2537,37.991,10.275,0.02693,0.04375,13.579,0.6817,0.6259,0.6254,-1.577,-0.7211,-0.5386,0.1391,1.858,2.969,0.8266,0.8884,0.0002745,97.751,3.928,4.329,0.000107,5.628E-06
SS_0.35_rep7.jpg,682,1,10.798,6.82,24.291,101.732,0,127.498,127.498,127.498,53.175,-0.001464,0.002775,0,0,0.5,27.383,27.383,27.383,10.798,0.0002286,0.0004332,0,0,0.1074,24.728,0.4147,-0.001466,-0.001466,0.4155,0.7963,0.7967,0.796,-1.373,-0.4026,-0.3503,0.3363,1.98,2.902,0.9675,0.9335,7.227E-05,99.974,4.581,4.577,0.0001065,1.696E-06
SS_2.25_rep17.jpg,682,1,15.084,7.189,0.9972,14.864,0,127.518,127.518,127.518,52.978,-0.00146,0.002767,0,0,0.5001,38.261,38.261,38.261,15.084,0.0003192,0.0006051,0,0,0.15,33.952,9.858,-0.02493,0.04252,9.162,0.6368,0.5039,0.449,-3.187,-1.529,-1.514,0.0333,0.9106,2.179,0.5236,0.7488,0.001007,89.935,3.823,3.283,0.0006604,4.416E-06
Pollard5.jpg,1117,1.574,12.296,7.188,7.634,74.905,6.133,109.818,100.248,88.707,42.834,2.027,8.133,0.1255,0.2442,0.4456,33.825,29.333,32.39,12.296,5.389,8.192,0.1786,0.1189,0.1332,18.562,7.17,0.009517,0.03456,15.31,0.5791,0.3936,0.3885,-2.507,-1.324,-1.233,0.003792,1.556,2.669,0.6365,0.8383,0.0003681,97.629,4.275,4.432,0.000149,1.456E-05
Rembrandt18.jpg,1186,0.7365,11.45,6.347,4.116,33.547,5.085,57.367,42.701,37.533,18.715,6.003,5.524,0.9596,0.2637,0.2284,40.22,22.671,9.223,11.45,7.269,11.415,0.156,0.2007,0.1555,82.545,6.248,-0.03082,-0.005124,15.458,0.3964,0.4536,0.3477,-2.833,-1.42,-1.423,0.009275,1.439,2.558,0.7017,0.7562,0.000325,72.354,4.462,4.397,0.0001686,1.439E-05
deVriendt3.jpg,1275,1.154,24.404,7.812,10.924,131.138,5.677,133.676,121.175,100.062,50.647,2.673,14.029,0.1211,0.4017,0.5488,58.686,62.47,74.864,24.404,5.992,15.28,0.1581,0.2629,0.2467,35.005,2.512,0.01245,-0.001689,7.593,0.512,0.48,0.4959,-2.802,-1.368,-1.387,0.002342,1.485,2.539,0.7777,0.833,0.000286,99.552,4.51,4.482,0.0001632,1.373E-05
768431.jpg,792,1.483,17.433,7.301,9.014,100.208,4.07,119.206,120.751,120.843,50.085,-0.5362,-0.2701,0.4817,0.03297,0.4783,43.088,43.658,43.139,17.433,0.7989,1.58,0.2347,0.04968,0.1702,12.803,2.122,-0.009514,0.004702,12.557,0.5516,0.4964,0.4875,-2.822,-1.312,-1.38,0.04168,1.467,2.583,0.6762,0.7715,0.0007176,99.249,3.539,3.823,0.0002258,1.546E-05
