img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Edge density,Complexity,Color entropy,mean R channel,mean G channel,mean (RG)B channel,mean L channel,mean A channel,mean (LA)B channel,mean H channel,mean S channel,mean V channel,std R channel,std G channel,std (RG)B channel,std L channel,std A channel,std (LA)B channel,std H channel,std S channel,std V channel,Mirror symmetry,DCM,Balance,left-right,up-down,left-right & up-down,2-dimensional,3-dimensional,Slope,Sigma,PHOG-based,CNN-based,Anisotropy,Homogeneity,1st-order,2nd-order,Sparseness,Variability,
random_4543.jpg,1221,1.502,10.675,15.359,44.501,12.524,10.496,155.685,36.773,35.116,35.224,47.314,31.104,0.9994,0.8352,0.6105,34.008,29.919,23.07,10.675,5.104,9.709,0.02382,0.1086,0.1334,57.196,3.301,10.42,0.7271,0.6739,0.6646,2.962,1.907,-0.9406,0.02449,0.8368,0.8665,0.000221,95.975,4.306,4.465,0.0001769,5.098e-06,
random_4545.jpg,1589,1.014,8.959,9.849,54.295,5.568,7.784,207.169,33.493,43.567,45.735,62.756,40.858,0.9903,0.8657,0.8124,29.008,33.13,12.643,8.959,11.078,8.6,0.02288,0.06251,0.1138,84.542,7.595,4.938,0.5472,0.5699,0.5112,2.261,1.487,-2.967,0.004016,0.5842,0.8039,0.0006126,80.305,3.278,3.8,0.0005156,9.825e-06,
random_4582.jpg,1199,1.333,7.477,8.681,35.652,4.852,5.7,7.21,7.915,20.834,3.455,2.933,-7.095,0.7415,0.6177,0.08401,18.363,17.485,23.411,7.477,3.632,8.444,0.178,0.4371,0.09536,80.674,37.541,23.862,0.5329,0.3572,0.3441,2.401,1.545,-2.488,0.004321,0.5374,0.8358,0.001045,88.876,3.841,4.249,0.0002565,1.729e-05,
random_4594.jpg,1336,1.493,13.424,16.396,82.789,11.534,10.86,142.463,147.031,116.562,59.626,-6.722,15.641,0.2078,0.2416,0.5893,34.989,35.288,38.123,13.424,6.094,11.638,0.1147,0.136,0.1354,19.162,9.586,15.051,0.6362,0.6137,0.5997,2.666,1.646,-2.098,0.004396,0.8282,0.8824,0.0002195,95.466,4.553,4.55,8.659e-05,7.096e-06,
random_4605.jpg,1125,1.32,16.36,14.422,48.663,15.283,10.062,186.695,208.372,239.112,82.864,0.7276,-17.7966,0.5868,0.2318,0.9378,53.797,47.408,20.92,16.36,10.312,17.831,0.06936,0.1931,0.08204,11.28,36.149,12.034,0.7589,0.4343,0.4255,2.975,1.613,-0.8719,0.02039,0.6144,0.8048,0.0001595,83.46,4.427,4.521,0.0001383,4.465e-06,
random_4649.jpg,1033,1.501,2.082,7.825,15.619,2.035,5.885,227.717,230.881,232.083,91.402,-0.8288,-0.9432,0.5347,0.02933,0.9155,7.799,6.319,4.921,2.082,2.75,1.98,0.1514,0.02435,0.0171,5.947,1.769,11.643,0.534,0.6187,0.5172,2.546,1.381,-2.649,0.02738,0.5904,0.7364,0.0004936,92.477,4.527,4.564,0.0006392,1.05e-05,
random_4673.jpg,1120,1.333,9.586,11.203,44.673,4.194,8.769,15.081,31.901,234.799,33.802,64.355,-93.8735,0.6548,0.9391,0.9208,35.681,38.737,22.174,9.586,13.145,12.432,0.01313,0.1428,0.08696,74.867,9.072,14.148,0.6776,0.5334,0.5377,2.639,1.331,-2.41,0.002575,0.258,0.5174,0.0008406,77.903,4.138,4.237,0.0008701,7.788e-06,
random_4702.jpg,1120,1.333,25.852,14.091,49.125,9.672,8.609,76.412,87.148,102.636,35.301,0.3226,-10.122,0.6103,0.2807,0.4053,56.915,65.729,70.408,25.852,5.469,9.12,0.08339,0.1374,0.2754,70.761,25.417,24.45,0.6321,0.4328,0.4156,2.737,1.516,-1.682,0.01253,0.6533,0.7823,0.000367,74.123,4.069,4.273,0.0001756,1.564e-05,
random_4755.jpg,1330,1.509,10.648,14.461,23.499,4.26,12.002,106.506,1.676,127.017,25.673,54.712,-41.3576,0.8155,0.9858,0.5118,37.888,3.11,52.012,10.648,15.087,18.57,0.03768,0.02751,0.1916,27.746,5.765,16.395,0.6204,0.5782,0.5603,2.471,1.36,-2.889,0.007716,0.6321,0.7678,0.0004516,95.594,4.264,4.392,0.0004307,6.194e-06,
random_4776.jpg,1250,1.778,29.125,11.495,80.059,13.646,7.411,134.01,153.565,184.572,61.838,2.294,-19.0338,0.636,0.3758,0.7249,82.968,75.088,60.688,29.125,5.93,11.79,0.09437,0.2967,0.2389,36.563,6.267,21.739,0.5432,0.3699,0.3274,2.857,1.376,-1.643,0.00514,0.488,0.8033,0.0007118,88.047,4.27,4.407,0.0004706,2.375e-05,
random_4816.jpg,1330,1.509,12.25,15.225,41.55,8.595,10.582,157.619,32.814,112.459,37.087,56.717,-13.7817,0.8984,0.8239,0.6258,45.498,21.783,57.491,12.25,11.788,23.346,0.06235,0.09782,0.1734,32.695,10.585,17.581,0.6323,0.5689,0.5195,2.726,1.388,-1.852,0.01657,0.682,0.7934,0.0003371,94.412,3.964,4.211,0.000275,8.304e-06,
random_4824.jpg,1400,1.333,12.47,11.085,44.932,6.297,8.333,188.168,110.809,111.375,55.159,30.764,12.868,0.9959,0.459,0.7379,33.989,35.007,19.577,12.47,5.208,8.637,0.0353,0.04837,0.1333,36.627,10.336,7.837,0.5079,0.4498,0.412,2.682,1.465,-1.97,0.001506,0.5268,0.7646,0.0003725,94.365,4.486,4.401,0.0003213,1.316e-05,
random_4825.jpg,1250,1.778,21.203,16.441,52.234,16.747,10.886,164.194,179.319,165.591,71.025,-7.789,5.457,0.3352,0.1589,0.7134,61.843,55.846,59.33,21.203,8.13,8.313,0.1664,0.1195,0.2169,27.477,27.81,17.673,0.6603,0.5442,0.5387,2.975,1.544,-0.878,0.02781,0.7688,0.838,0.0002819,92.52,4.079,4.156,9.208e-05,6.683e-06,
random_4920.jpg,1334,1.498,33.484,12.489,41.978,4.99,8.655,96.525,97.629,152.367,41.927,15.161,-29.7481,0.6728,0.5666,0.5978,77.745,86.742,86.391,33.484,7.594,9.325,0.06269,0.2867,0.3385,43.013,39.304,30.782,0.4632,0.3805,0.3743,2.471,1.369,-2.553,0.002864,0.5388,0.7203,0.0006881,83.514,3.342,3.839,0.0004828,1.585e-05,
random_4928.jpg,1330,1.509,15.229,16.522,72.786,13.402,10.893,42.522,63.747,123.395,28.543,13.878,-35.0183,0.6487,0.7359,0.4842,29.003,39.571,50.383,15.229,9.423,9.536,0.07629,0.1644,0.1973,42.693,8.21,12.158,0.7306,0.5364,0.5233,2.792,1.742,-1.776,0.01738,0.776,0.8733,0.0002433,95.021,4.486,4.545,0.0001253,6.707e-06,
random_4932.jpg,1152,1.25,24.777,13.077,40.834,5.14,7.184,91.541,97.728,109.041,40.031,0.4071,-7.199,0.6374,0.1888,0.4291,61.988,60.207,61.087,24.777,1.825,5.465,0.1537,0.1362,0.2408,52.571,30.683,20.333,0.5023,0.4522,0.4233,2.481,1.395,-2.223,0.01681,0.7142,0.7837,0.0003786,83.738,4.502,4.468,0.0002009,1.532e-05,
random_4956.jpg,1230,1.733,15.481,10.218,20.521,2.816,6.553,80.738,45.81,81.778,24.719,21.69,-14.3309,0.8598,0.4207,0.3335,48.37,30.002,47.481,15.481,12.019,9.891,0.08878,0.2467,0.1841,15.386,29.92,16.031,0.5382,0.3457,0.336,2.333,1.316,-2.231,0.007459,0.4601,0.5735,0.0009072,94.499,3.42,3.476,0.0004412,1.22e-05,
random_4977.jpg,1250,1.778,1.478,4.251,4.052,0.5838,3.354,112.335,113.355,114.953,47.741,-0.04812,-1.017,0.7208,0.0294,0.4526,3.991,3.835,3.845,1.478,0.4965,1.673,0.2264,0.02701,0.01916,95.975,0.5,14.554,0.5887,0.4947,0.4947,2.38,1.189,-3.208,0.005104,0.7426,0.6408,0.000735,44.383,3.774,4.111,0.0009729,8.592e-06,
random_5003.jpg,1066,1.502,22.985,15.641,110.988,15.51,10.633,89.988,50.042,54.763,25.941,17.932,5.989,0.9257,0.6059,0.3602,63.627,55.134,57.44,22.985,13.497,15.03,0.1241,0.2712,0.2492,47.529,10.414,16.144,0.462,0.4675,0.4569,2.683,1.509,-1.89,0.01398,0.6813,0.7973,0.0005092,96.875,4.411,4.463,0.0001608,2.721e-05,
random_5022.jpg,999,1.783,4.579,5.995,28.762,3.4,2.898,9.205,7.991,10.553,3.02,0.9758,-1.222,0.9548,0.1787,0.0422,12.798,12.032,13.664,4.579,2.725,3.268,0.1314,0.3357,0.05418,60.756,25.368,33.534,0.5684,0.5433,0.5365,2.548,1.489,-2.33,0.007591,0.5761,0.8258,0.0004712,93.57,4.466,4.518,0.0001808,1.279e-05,
random_5036.jpg,1400,1.333,11.78,14.328,44.659,5.879,10.687,118.832,166.35,43.408,63.016,-32.9695,52.57,0.235,0.7823,0.6545,43.187,30.12,46.771,11.78,10.017,12.454,0.05566,0.1971,0.1203,42.801,10.028,8.999,0.4994,0.4342,0.3723,2.57,1.499,-2.069,0.002538,0.5456,0.7507,0.0005472,92.393,4.432,4.455,0.0004715,1.559e-05,
random_5041.jpg,1015,1.707,21.235,17.369,166.398,24.608,12.992,129.888,149.362,177.504,61.701,5.206,-16.2488,0.5537,0.4446,0.773,69.456,59.293,63.101,21.235,17.861,36.521,0.2462,0.258,0.2005,25.96,15.382,21.153,0.691,0.5012,0.5024,2.837,1.645,-1.84,0.02262,0.8459,0.8345,0.0002737,97.38,3.59,4.065,0.000124,7.671e-06,
random_5078.jpg,1123,1.468,22.697,15.859,78.541,12.275,11.695,172.876,120.199,36.036,54.069,13.597,49.234,0.09685,0.7469,0.6795,65.044,57.87,24.017,22.697,15.77,22.911,0.07883,0.2143,0.2525,11.749,8.137,14.444,0.6041,0.3538,0.3555,2.689,1.512,-1.896,0.02034,0.6104,0.6772,0.0004023,81.441,4.424,4.51,0.0001972,1.328e-05,
